Star birthyear not int: StageName:The Andrews Sisters, Birthyear: null.
Star birthyear not int: StageName:Alec Baldwin, Birthyear: null.
Star birthyear not int: StageName:Stephen Baldwin, Birthyear: null.
Star birthyear not int: StageName:Vincent Ball, Birthyear: null.
Star birthyear not int: StageName:The Beatles, Birthyear: null.
Star birthyear not int: StageName:Barbara BelGeddes, Birthyear: null.
Star birthyear not int: StageName:Halle Berry, Birthyear: null.
Star birthyear not int: StageName:The Bowery Boys, Birthyear: null.
Star birthyear not int: StageName:Miriam Brickman, Birthyear: null.
Star birthyear not int: StageName:Soumitra Chatterjee, Birthyear: null.
Star birthyear not int: StageName:Anne Chevalier, Birthyear: null.
Star birthyear not int: StageName:George Clooney, Birthyear: null.
Star birthyear not int: StageName:The Commodores, Birthyear: null.
Star birthyear not int: StageName:Lynn Frederick, Birthyear: null.
Star birthyear not int: StageName:Charlotte Gainsbourg, Birthyear: null.
Star birthyear not int: StageName:The Little Tough Guys, Birthyear: null.
Star birthyear not int: StageName:Ray Hallam, Birthyear: null.
Star birthyear not int: StageName:Terry Hatcher, Birthyear: null.
Star birthyear not int: StageName:Max Haufler, Birthyear: null.
Star birthyear not int: StageName:Dead End Kids, Birthyear: null.
Star birthyear not int: StageName:East Side Kids, Birthyear: null.
Star birthyear not int: StageName:Keystone Kops, Birthyear: null.
Star birthyear not int: StageName:Queen Latifah, Birthyear: null.
Star birthyear not int: StageName:Laurel and Hardy, Birthyear: null.
Star birthyear not int: StageName:Marx Brothers, Birthyear: null.
Star birthyear not int: StageName:David Morrissey, Birthyear: null.
Star birthyear not int: StageName:Mickey Mouse, Birthyear: null.
Star birthyear not int: StageName:Rene Navarre, Birthyear: null.
Star birthyear not int: StageName:Super Dave Osborne, Birthyear: null.
Star birthyear not int: StageName:The Sons of the Pioneers, Birthyear: null.
Star birthyear not int: StageName:Brad Pitt, Birthyear: null.
Star birthyear not int: StageName:Moliere Players, Birthyear: null.
Star birthyear not int: StageName:Sarah Polley, Birthyear: null.
Star birthyear not int: StageName:Gilda Radner, Birthyear: null.
Star birthyear not int: StageName:Pamela Reed, Birthyear: null.
Star birthyear not int: StageName:The Ritz-Brothers, Birthyear: null.
Star birthyear not int: StageName:Tanya Roberts, Birthyear: null.
Star birthyear not int: StageName:Howard E. Rollins~jr., Birthyear: null.
Star birthyear not int: StageName:Tim Roth, Birthyear: null.
Star birthyear not int: StageName:Mercedes Ruehl, Birthyear: null.
Star birthyear not int: StageName:Claudia Schiffer, Birthyear: null.
Star birthyear not int: StageName:Tony Shalhoub, Birthyear: null.
Star birthyear not int: StageName:Posh Spice, Birthyear: null.
Star birthyear not int: StageName:The Loving Spoonful, Birthyear: null.
Star birthyear not int: StageName:Sting, Birthyear: null.
Star birthyear not int: StageName:Natalie Talmadge, Birthyear: null.
Star birthyear not int: StageName:Fred Thompson, Birthyear: null.
Star birthyear not int: StageName:The Who, Birthyear: null.
Star birthyear not int: StageName:The Wiere~Brothers, Birthyear: null.
Star birthyear not int: StageName:Dianne Wiest, Birthyear: null.
